id_be,id_be_akz,handelsname,pharmazeutischer_unternehmer,therapiegebiet,therapiegebiet_atc,therapeutisches_gebiet_text,orphan_drug,atmp,pat_gr_id,wirkstoff_inn,datum_beschluss,patientengruppe,zn_ausmass,zn_wahrscheinlichkeit,zvt_best,quelle_url
426,2019-01-15-D-422,Delstrigo,MSD SHARP & DOHME GMBH,Infektionskrankheiten,,HIV-Infektion (Infektionskrankheiten),False,False,1272,Doravirin/Lamivudin/Tenofovirdisoproxil,2019-07-04,"Therapieerfahrene erwachsene HIV-1 Patienten, bei denen die HI-Viren keine Mutationen aufweisen, die bekanntermaßen mit einer Resistenz gegen die Substanzklasse der NNRTI, Lamivudin oder Tenofovir assoziiert sind",Kein Zusatznutzen belegt,,"Individuelle antiretrovirale Therapie in Abhängigkeit der Vortherapie(n) und unter Berücksichtigung des Grundes für den Therapiewechsel, insbesondere Therapieversagen aufgrund eines virologischen Versagens und etwaig einhergehender Resistenzbildung oder aufgrund von Nebenwirkungen",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/429/
430,2019-01-15-D-434,Alunbrig,Takeda GmbH,onkologische Erkrankungen,Hämatologie,nicht-kleinzelliges Lungenkarzinom (onkologische Erkrankungen),False,False,746,Brigatinib,2019-07-04,"Erwachsene mit anaplastischer-Lymphomkinase (ALK)-positivem, fortgeschrittenen, nicht-kleinzelligen Lungenkarzinom (NSCLC), die zuvor mit Crizotinib behandelt wurden",Kein Zusatznutzen belegt,,Ceritinib oder Alectinib,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/434/
373,2018-07-01-D-364,Biktarvy,Gilead Sciecnes GmbH,Infektionskrankheiten,,HIV-Infektion (Infektionskrankheiten),False,False,751,Bictegravir/Emtricitabin/Tenofoviralafenamid,2018-12-20,"Therapienaive erwachsene HIV-1 Patienten, bei denen weder aktuell noch in der Vergangenheit Resistenzen gegen die Klasse der Integrase-Inhibitoren, Emtricitabin oder Tenofovir nachgewiesen worden ist",Kein Zusatznutzen belegt,,"Rilpivirin in Kombination mit Tenofovirdisoproxil/-alafenamid plus Emtricitabin oder in Kombination mit Abacavir plus Lamivudin 
oder 
Dolutegravir in Kombination mit Tenofovirdisoproxil/-alafenamid plus Emtricitabin oder in Kombination mit Abacavir plus Lamivudin",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/375/
373,2018-07-01-D-364,Biktarvy,Gilead Sciecnes GmbH,Infektionskrankheiten,,HIV-Infektion (Infektionskrankheiten),False,False,752,Bictegravir/Emtricitabin/Tenofoviralafenamid,2018-12-20,"Therapieerfahrene erwachsene HIV-1 Patienten, bei denen weder aktuell noch in der Vergangenheit Resistenzen gegen die Klasse der Integrase-Inhibitoren, Emtricitabin oder Tenofovir nachgewiesen worden ist",Kein Zusatznutzen belegt,,"Eine individuelle antiretrovirale Therapie in Abhängigkeit der Vortherapie(n) und unter Berücksichtigung des Grundes für den Therapiewechsel, insbesondere Therapieversagen aufgrund eines virologischen Versagens und etwaig einhergehender Resistenzbildung oder aufgrund von Nebenwirkungen.",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/375/
470,2019-07-01-D-462,Xigduo,AstraZeneca GmbH,Stoffwechselkrankheiten,,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,761,Dapagliflozin/Metformin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung  mit einem  anderen blutzuckersenkenden Arzneimittel (außer Insulin, hier Metformin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten ohne hohem kardiovaskulärem Risiko",Kein Zusatznutzen belegt,,Metformin + Sulfonylharnstoff (Glibenclamid oder Glimepirid) oder Metformin + Empagliflozin,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/470/
470,2019-07-01-D-462,Xigduo,AstraZeneca GmbH,Stoffwechselkrankheiten,,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,763,Dapagliflozin/Metformin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung  mit einem  anderen blutzuckersenkenden Arzneimittel (außer Insulin, hier Metformin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten mit hohem kardiovaskulärem Risiko, die weitere Medikation zur Behandlung der kardiovaskulären Risikofaktoren erhalten",Gering,Anhaltspunkt,"Metformin + Sulfonylharnstoff (Glibenclamid oder Glimepirid) oder Metformin + Empagliflozin oder Metformin + Liraglutid

Hinweis: Empagliflozin ​und Liraglutid in Kombination mit weiterer Medikation zur Behandlung der kardiovaskulären Risikofaktoren, insbesondere Antihypertensiva, Antikoagulanzien und/oder Lipidsenker und nur für Patienten mit manifester kardiovaskulärer Erkrankung.​",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/470/
470,2019-07-01-D-462,Xigduo,AstraZeneca GmbH,Stoffwechselkrankheiten,,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,771,Dapagliflozin/Metformin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung mit mindestens zwei blutzuckersenkenden Arzneimitteln (darunter Metformin, außer Insulin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten ohne hohem kardiovaskulärem Risiko",Kein Zusatznutzen belegt,,Humaninsulin + Metformin,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/470/
470,2019-07-01-D-462,Xigduo,AstraZeneca GmbH,Stoffwechselkrankheiten,,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,921,Dapagliflozin/Metformin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung mit mindestens zwei blutzuckersenkenden Arzneimitteln (darunter Metformin, außer Insulin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten mit hohem kardiovaskulärem Risiko, die weitere Medikation zur Behandlung der kardiovaskulären Risikofaktoren erhalten",Gering,Anhaltspunkt,"Humaninsulin + Metformin oder Humaninsulin + Empagliflozin oder Humaninsulin + Liraglutid oder Humaninsulin, wenn die bestimmten Kombinationspartner gemäß Fachinformation unverträglich oder kontraindiziert oder aufgrund eines fortgeschrittenen Diabetes mellitus Typ 2 nicht ausreichend wirksam sind.

Hinweis: Empagliflozin ​und Liraglutid in Kombination mit weiterer Medikation zur Behandlung der kardiovaskulären Risikofaktoren, insbesondere Antihypertensiva, Antikoagulanzien und/oder Lipidsenker und nur für Patienten mit manifester kardiovaskulärer Erkrankung.​",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/470/
470,2019-07-01-D-462,Xigduo,AstraZeneca GmbH,Stoffwechselkrankheiten,,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,922,Dapagliflozin/Metformin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung mit Insulin (mit einem anderen blutzuckersenkenden Arzneimittel, hier Metformin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten ohne hohem kardiovaskulärem Risiko",Kein Zusatznutzen belegt,,Die Optimierung des Humaninsulinregimes (ggf. + Metformin),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/470/
470,2019-07-01-D-462,Xigduo,AstraZeneca GmbH,Stoffwechselkrankheiten,,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,923,Dapagliflozin/Metformin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung mit Insulin (mit einem anderen blutzuckersenkenden Arzneimittel, hier Metformin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten mit hohem kardiovaskulärem Risiko, die weitere Medikation zur Behandlung der kardiovaskulären Risikofaktoren erhalten",Gering,Anhaltspunkt,"Die Optimierung des Humaninsulinregimes (ggf. + Metformin oder Empagliflozin oder Liraglutid)

Hinweis: Empagliflozin ​und Liraglutid in Kombination mit weiterer Medikation zur Behandlung der kardiovaskulären Risikofaktoren, insbesondere Antihypertensiva, Antikoagulanzien und/oder Lipidsenker und nur für Patienten mit manifester kardiovaskulärer Erkrankung.​",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/470/
471,2019-07-01-D-461,Forxiga,AstraZeneca GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,762,Dapagliflozin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung allein den Blutzucker nicht ausreichend kontrollieren, und für die die Anwendung von Metformin aufgrund einer Unverträglichkeit nicht geeignet ist, bei Patienten ohne hohes kardiovaskuläres Risiko",Kein Zusatznutzen belegt,,Sulfonylharnstoff (Glibenclamid oder Glimepirid),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/469/
471,2019-07-01-D-461,Forxiga,AstraZeneca GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,764,Dapagliflozin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung allein den Blutzucker nicht ausreichend kontrollieren, und für die die Anwendung von Metformin aufgrund einer Unverträglichkeit nicht geeignet ist, bei Patienten mit hohem kardiovaskulären Risiko, die weitere Medikation zur Behandlung der kardiovaskulären Risikofaktoren erhalten",Kein Zusatznutzen belegt,,Sulfonylharnstoff (Glibenclamid oder Glimepirid),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/469/
471,2019-07-01-D-461,Forxiga,AstraZeneca GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,765,Dapagliflozin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung  mit einem  anderen blutzuckersenkenden Arzneimittel (außer Insulin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten ohne hohes kardiovaskuläres Risiko",Kein Zusatznutzen belegt,,Metformin + Sulfonylharnstoff (Glibenclamid oder Glimepirid) oder Metformin + Empagliflozin,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/469/
471,2019-07-01-D-461,Forxiga,AstraZeneca GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,766,Dapagliflozin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung  mit einem  anderen blutzuckersenkenden Arzneimittel (außer Insulin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten mit hohem kardiovaskulären Risiko, die weitere Medikation zur Behandlung der kardiovaskulären Risikofaktoren erhalten",Gering,Anhaltspunkt,"Metformin + Sulfonylharnstoff (Glibenclamid oder Glimepirid) oder Metformin + Empagliflozin oder Metformin + Liraglutid

Hinweis: Liraglutid in Kombination mit weiterer Medikation zur Behandlung der kardiovaskulären Risikofaktoren, insbesondere Antihypertensiva, Antikoagulanzien und/oder Lipidsenker und nur für Patienten mit manifester kardiovaskulärer Erkrankung.​",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/469/
471,2019-07-01-D-461,Forxiga,AstraZeneca GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,767,Dapagliflozin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung  mit mindestens zwei  blutzuckersenkenden Arzneimitteln (außer Insulin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten ohne hohes kardiovaskuläres Risiko.",Kein Zusatznutzen belegt,,"Humaninsulin + Metformin oder nur Humaninsulin, wenn Metformin gemäß Fachinformation unverträglich oder kontraindiziert oder aufgrund eines fortgeschrittenen Diabetes mellitus Typ 2 nicht ausreichend wirksam ist",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/469/
471,2019-07-01-D-461,Forxiga,AstraZeneca GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,768,Dapagliflozin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung  mit mindestens zwei  blutzuckersenkenden Arzneimitteln (außer Insulin) den Blutzucker nicht ausreichend kontrollieren, bei Patienten mit hohem kardiovaskulären Risiko, die weitere Medikation zur Behandlung der kardiovaskulären Risikofaktoren erhalten",Gering,Anhaltspunkt,"Humaninsulin + Metformin oder Humaninsulin + Empagliflozin oder Humaninsulin + Liraglutid oder Humaninsulin, wenn die bestimmten Kombinationspartner gemäß Fachinformation unverträglich oder kontraindiziert oder aufgrund eines fortgeschrittenen Diabetes mellitus Typ 2 nicht ausreichend wirksam sindHinweis: Empagliflozin ​und Liraglutid in Kombination mit weiterer Medikation zur Behandlung der kardiovaskulären Risikofaktoren, insbesondere Antihypertensiva, Antikoagulanzien und/oder Lipidsenker und nur für Patienten mit manifester kardiovaskulärer Erkrankung.​",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/469/
471,2019-07-01-D-461,Forxiga,AstraZeneca GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,769,Dapagliflozin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung  mit Insulin  (mit oder ohne einem anderen blutzuckersenkenden Arzneimittel) den Blutzucker nicht ausreichend kontrollieren, bei Patienten ohne hohes kardiovaskuläres Risiko",Kein Zusatznutzen belegt,,Die Optimierung des Humaninsulinregimes (ggf. + Metformin),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/469/
471,2019-07-01-D-461,Forxiga,AstraZeneca GmbH,Stoffwechselkrankheiten,Metabolik/Diabetes,Diabetes mellitus Typ 2 (Stoffwechselkrankheiten),False,False,770,Dapagliflozin,2019-12-19,"Erwachsene Patienten mit Diabetes mellitus Typ 2, bei denen Diät und Bewegung und die Behandlung  mit Insulin  (mit oder ohne einem anderen blutzuckersenkenden Arzneimittel) den Blutzucker nicht ausreichend kontrollieren, bei Patienten mit hohem kardiovaskulären Risiko, die weitere Medikation zur Behandlung der kardiovaskulären Risikofaktoren erhalten",Gering,Anhaltspunkt,"Die Optimierung des Humaninsulinregimes (ggf. + Metformin oder Empagliflozin oder Liraglutid)

Hinweis: Empagliflozin ​und Liraglutid in Kombination mit weiterer Medikation zur Behandlung der kardiovaskulären Risikofaktoren, insbesondere Antihypertensiva, Antikoagulanzien und/oder Lipidsenker und nur für Patienten mit manifester kardiovaskulärer Erkrankung.​",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/469/
465,2019-06-15-D-456,Imnovid,Celgene GmbH,onkologische Erkrankungen,Rheumatologie/Immunologie,Multiples Myelom (onkologische Erkrankungen),False,False,772,Pomalidomid,2019-12-05,"Erwachsene Patienten mit multiplem Myelom die mindestens eine vorausgegangene Therapie, darunter Lenalidomid, erhalten haben",Kein Zusatznutzen belegt,,"•	Bortezomib in Kombination mit pegyliertem liposomalen Doxorubicin
oder
•	Bortezomib in Kombination mit Dexamethason
oder
•	Lenalidomid in Kombination mit Dexamethason
oder
•	Elotuzumab in Kombination mit Lenalidomid und Dexamethason
oder
•	Carfilzomib in Kombination mit Lenalidomid und Dexamethason
oder
•	Carfilzomib in Kombination mit Dexamethason
oder
•	Daratumumab in Kombination mit Lenalidomid und Dexamethason
oder
•	Daratumumab in Kombination mit Bortezomib und Dexamethason",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/467/
474,2019-09-01-D-489,Imbruvica,Janssen-Cilag GmbH,onkologische Erkrankungen,Onkologie,Morbus Waldenström (onkologische Erkrankungen),False,False,775,Ibrutinib,2020-02-20,Erwachsene Patienten mit Morbus Waldenström,Kein Zusatznutzen belegt,,Eine patientenindividuelle Therapie unter Berücksichtigung des Allgemeinzustands und ggf. von Vortherapien.,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/491/
475,2019-07-01-D-467,Palynziq,BioMarin International Limited,Stoffwechselkrankheiten,Seltene Erkrankungen,Phenylketonurie (Stoffwechselkrankheiten),True,False,776,Pegvaliase,2019-12-19,"Patienten ab 16 Jahren mit Phenylketonurie (PKU), deren Phenylalaninwerte im Blut trotz vorausgegangener Anwendung verfügbarer Behandlungsoptionen nicht ausreichend eingestellt sind (Phenylalaninwerte im Blut von über 600 µmol/l)",Nicht quantifizierbar,Anhaltspunkt,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/471/
477,2019-09-01-D-488,Imbruvica,Janssen-Cilag GmbH,onkologische Erkrankungen,Hämatologie,chronische lymphatische Leukämie (onkologische Erkrankungen),False,False,777,Ibrutinib,2020-02-20,"Erwachsene Patienten mit nicht vorbehandelter chronischer lymphatischer Leukämie (CLL), für die eine Therapie mit Fludarabin in Kombination mit Cyclophosphamid und Rituximab (FCR) infrage kommt",Kein Zusatznutzen belegt,,Fludarabin in Kombination mit Cyclophosphamid und Rituximab (FCR),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/490/
477,2019-09-01-D-488,Imbruvica,Janssen-Cilag GmbH,onkologische Erkrankungen,Hämatologie,chronische lymphatische Leukämie (onkologische Erkrankungen),False,False,778,Ibrutinib,2020-02-20,"Erwachsene Patienten mit nicht vorbehandelter chronischer lymphatischer Leukämie (CLL), für die eine Therapie mit Fludarabin in Kombination mit Cyclophosphamid und Rituximab (FCR) nicht infrage kommt",Gering,Anhaltspunkt,"Bendamustin in Kombination mit Rituximab
oder
Chlorambucil in Kombination mit Rituximab oder Obinutuzumab",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/490/
477,2019-09-01-D-488,Imbruvica,Janssen-Cilag GmbH,onkologische Erkrankungen,Hämatologie,chronische lymphatische Leukämie (onkologische Erkrankungen),False,False,780,Ibrutinib,2020-02-20,"Erwachsene Patienten mit nicht vorbehandelter chronischer lymphatischer Leukämie (CLL), mit 17p-Deletion und/oder TP53-Mutation oder für die eine Chemo-Immuntherapie aus anderen Gründen nicht angezeigt ist",Kein Zusatznutzen belegt,,Ibrutinib,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/490/
476,2019-08-15-D-469,Waylivra,Akcea Therapeutics Germany GmbH,Stoffwechselkrankheiten,Kardiologie,Chylomikronämiesyndrom (Stoffwechselkrankheiten),True,False,788,Volanesorsen,2020-02-20,"Erwachsene Patienten mit genetisch bestätigtem familiärem Chylomikronämie-Syndrom (FCS) und einem hohen Risiko für Pankreatitis, bei denen das Ansprechen auf eine Diät und eine triglyceridsenkende Therapie unzureichend war.",Nicht quantifizierbar,Anhaltspunkt,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/479/
479,2019-10-15-D-494,Strensiq,Alexion Pharma Germany GmbH,Stoffwechselkrankheiten,Seltene Erkrankungen,Hypophosphatasie (Stoffwechselkrankheiten),True,False,782,Asfotase alfa,2020-04-02,Kleinkinder (≤ 5 Jahre) mit perinataler oder infantiler Hypophosphatasie (Krankheitsbeginn bis 6. Lebensmonat),Nicht quantifizierbar,Anhaltspunkt,Best Supportive Care,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/505/
479,2019-10-15-D-494,Strensiq,Alexion Pharma Germany GmbH,Stoffwechselkrankheiten,Seltene Erkrankungen,Hypophosphatasie (Stoffwechselkrankheiten),True,False,874,Asfotase alfa,2020-04-02,Kleinkinder (≤ 5 Jahre) mit juveniler Hypophosphatasie (Krankheitsbeginn ab 6. Lebensmonat),Kein Zusatznutzen belegt,,Best Supportive Care,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/505/
479,2019-10-15-D-494,Strensiq,Alexion Pharma Germany GmbH,Stoffwechselkrankheiten,Seltene Erkrankungen,Hypophosphatasie (Stoffwechselkrankheiten),True,False,875,Asfotase alfa,2020-04-02,"Kinder (> 5 Jahre), Jugendliche und Erwachsene mit perinataler, infantiler oder juveniler Hypophosphatasie (Krankheitsbeginn bis 18 Jahre)",Kein Zusatznutzen belegt,,Best Supportive Care,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/505/
483,2019-12-01-D-503,Xospata,Astellas Pharma GmbH,onkologische Erkrankungen,Hämatologie,Akute myeloische Leukämie (onkologische Erkrankungen),True,False,786,Gilteritinib,2020-05-14,Erwachsene Patienten mit rezidivierter oder refraktärer akuter myeloischer Leukämie (AML) mit einer FLT3-Mutation,Beträchtlich,Anhaltspunkt,,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/509/
467,2019-07-15-D-459,Lynparza,AstraZeneca GmbH,onkologische Erkrankungen,Onkologie,Mammakarzinom (onkologische Erkrankungen),False,False,791,Olaparib,2020-01-16,"Erwachsene Patienten mit HER2-negativem, lokal fortgeschrittenen oder metastasierten Brustkrebs mit BRCA1/2-Mutationen in der Keimbahn; nach vorangegangener Therapie mit einem Anthrazyklin und einem Taxan im (neo)adjuvanten oder metastasierten Setting oder ungeeignet für diese Behandlungen",Gering,Anhaltspunkt,Capecitabin oder Vinorelbin oder Eribulin oder ggf. eine Anthrazyklin- oder Taxan-haltige Therapie,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/463/
486,2019-08-01-D-463,Ultomiris,Alexion Pharma Germany GmbH,Krankheiten des Blutes und der blutbildenden Organe,Rheumatologie/Immunologie,paroxysmale Hämoglobinurie (Krankheiten des Blutes und der blutbildenden Organe),False,False,792,Ravulizumab,2020-02-06,"Erwachsene Patienten mit paroxysmaler nächtlicher Hämoglobinurie (PNH) mit einer hohen Krankheitsaktivität, gekennzeichnet durch klinische Symptome einer Hämolyse",Kein Zusatznutzen belegt,,Eculizumab,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/476/
486,2019-08-01-D-463,Ultomiris,Alexion Pharma Germany GmbH,Krankheiten des Blutes und der blutbildenden Organe,Rheumatologie/Immunologie,paroxysmale Hämoglobinurie (Krankheiten des Blutes und der blutbildenden Organe),False,False,925,Ravulizumab,2020-02-06,"Erwachsene Patienten mit paroxysmaler nächtlicher Hämoglobinurie (PNH), die Eculizumab seit ≥ 6 Monaten erhalten und klinisch stabil sind",Kein Zusatznutzen belegt,,Eculizumab,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/476/
455,2019-04-15-D-455,Xofigo,Bayer Vital GmbH,onkologische Erkrankungen,Onkologie,Prostatakarzinom (onkologische Erkrankungen),False,False,794,Radium-223-dichlorid,2019-10-17,"Erwachsene Patienten mit metastasiertem kastrationsresistentem Prostatakarzinom (mCRPC) und symptomatischen Knochenmetastasen ohne bekannte viszerale Metastasen, bei denen die Erkrankung nach Erhalt von mindestens zwei vorausgehenden systemischen Therapielinien zur Behandlung des mCRPC (außer LHRH-Analoga) fortschreitet",Kein Zusatznutzen belegt,,"Patientenindividuelle Therapie unter Berücksichtigung der Vortherapien und unter Auswahl von Abirateron, Enzalutamid, Cabazitaxel und Docetaxel",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/455/
455,2019-04-15-D-455,Xofigo,Bayer Vital GmbH,onkologische Erkrankungen,Onkologie,Prostatakarzinom (onkologische Erkrankungen),False,False,795,Radium-223-dichlorid,2019-10-17,"Erwachsene Patienten mit metastasiertem kastrationsresistentem Prostatakarzinom (mCRPC) und symptomatischen Knochenmetastasen ohne bekannte viszerale Metastasen, für die keine andere verfügbare systemische mCRPC Therapie geeignet ist",Kein Zusatznutzen belegt,,"Best-Supportive-Care (insbesondere adäquate Schmerztherapie, Behandlung mit Bisphosphonaten, Denosumab und/oder Radionukliden)",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/455/
487,2019-09-15-D-475,Besremi,AOP Orphan Pharmaceuticals AG,onkologische Erkrankungen,Onkologie,Polycythaemia vera (onkologische Erkrankungen),False,False,799,Ropeginterferon alfa-2b,2020-03-05,"Nicht vorbehandelte oder mit Hydroxyurea vorbehandelte erwachsene Patienten mit Polycythaemia vera ohne symptomatische Splenomegalie, die nicht resistent oder intolerant gegenüber Hydroxyurea sind",Kein Zusatznutzen belegt,,Hydroxyurea,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/492/
487,2019-09-15-D-475,Besremi,AOP Orphan Pharmaceuticals AG,onkologische Erkrankungen,Onkologie,Polycythaemia vera (onkologische Erkrankungen),False,False,800,Ropeginterferon alfa-2b,2020-03-05,"Mit Hydroxyurea vorbehandelte erwachsene Patienten mit Polycythaemia vera ohne symptomatische Splenomegalie, die resistent oder intolerant gegenüber Hydroxyurea sind",Kein Zusatznutzen belegt,,Ruxolitinib,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/492/
488,2019-09-01-D-474,Cyramza,Lilly Deutschland GmbH,onkologische Erkrankungen,Onkologie,hepatozelluläres Karzinom (onkologische Erkrankungen),False,False,803,Ramucirumab,2020-02-20,"Erwachsene Patienten mit fortgeschrittenem oder inoperablem hepatozellulärem Karzinom ohne kurative Therapieintention und für die eine lokoregionäre Therapie nicht in Frage kommt, die ein Serum-Alpha-Fetoprotein (AFP) von ≥ 400 ng/ml aufweisen und die zuvor mit Sorafenib behandelt wurden",Gering,Beleg,Best-Supportive-Care oder Cabozantinib,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/480/
489,2019-12-01-D-508,Keytruda,MSD SHARP & DOHME GMBH,onkologische Erkrankungen,Onkologie,Plattenepithelkarzinom des Kopf-Hals-Bereichs (onkologische Erkrankungen),False,False,804,Pembrolizumab,2020-05-14,Erwachsene Patienten mit metastasierendem oder nicht resezierbarem rezidivierendem Plattenepithelkarzinom der Kopf-Hals-Region (HNSCC) mit PD-L1-exprimierenden Tumoren (Combined Positive Score [CPS] ≥ 1); Erstlinienbehandlung,Gering,Hinweis,Cetuximab + Cisplatin oder Carboplatin + 5-FU,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/513/
490,2019-12-01-D-506,Nerlynx,Pierre Fabre Pharma,onkologische Erkrankungen,Onkologie,Mammakarzinom (onkologische Erkrankungen),False,False,805,Neratinib,2020-05-14,"Erwachsene Patienten mit Hormonrezeptor-positivem, HER2-überexprimiertem/amplifiziertem Brustkrebs in einem frühen Stadium, die vor weniger als einem Jahr eine Trastuzumab-basierte adjuvante Therapie abgeschlossen haben, zur erweiterten adjuvanten Behandlung",Gering,Anhaltspunkt,Beobachtendes Abwarten,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/510/
491,2019-12-01-D-505,Dupixent,Sanofi-Aventis Deutschland GmbH,Krankheiten des Atmungssystems,Dermatologie,Rhinosinusitis (Krankheiten des Atmungssystems),False,False,806,Dupilumab,2020-05-14,"Erwachsene Patienten mit schwerer chronischer Rhinosinusitis mit nasaler Polyposis (CRSwNP), die mit systemischen Kortikosteroiden und/oder chirurgischem Eingriff nicht ausreichend kontrolliert werden kann",Beträchtlich,Hinweis,eine Therapie mit intranasalen Kortikosteroiden (Budesonid oder Mometasonfuroat),https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/507/
492,2019-12-01-D-504,Bavencio,Merck Serono GmbH / Pfizer Pharma GmbH,onkologische Erkrankungen,Onkologie,Nierenzellkarzinom (onkologische Erkrankungen),False,False,807,Avelumab,2020-05-14,"Erwachsene Patienten mit nicht vorbehandeltem, fortgeschrittenem Nierenzellkarzinom mit günstigem oder intermediärem Risikoprofil (IMDC-Score 0-2)",Kein Zusatznutzen belegt,,"−	Bevacizumab in Kombination mit Interferon alfa-2a 
oder 
−	Nivolumab in Kombination mit Ipilimumab (nur für Patienten mit intermediärem Risikoprofil)
oder
−	Monotherapie mit Pazopanib 
oder 
−	Monotherapie mit Sunitinib",https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/508/
